"subj","cell","alpha","nu"
95,"cong/post-err",1.79244315055293,0.431192489398198
96,"cong/post-err",1.7357403568763,0.629733459444186
97,"cong/post-err",1.90467267283396,1.08991377039739
98,"cong/post-err",1.83374357420458,1.20537270954964
99,"cong/post-err",1.84196276716067,2.13798179978892
100,"cong/post-err",1.73141010920917,0.46471440837565
1,"incong/post-corr",1.8810122673485,0.38111056083258
2,"incong/post-corr",1.62863353692942,0.77915391086647
3,"incong/post-corr",1.86273106956831,0.978845359518509
4,"incong/post-corr",1.74279277260221,1.66317485160501
5,"incong/post-corr",1.78172068135639,-0.23940648778445
6,"incong/post-corr",1.57302081533662,0.262412636814366
7,"incong/post-corr",1.76491623116742,-0.1437697676105
8,"incong/post-corr",1.68371529375196,1.14202452333823
9,"incong/post-corr",1.78522858758447,0.3339002795145
10,"incong/post-corr",1.88500082057654,1.24814968770898
11,"incong/post-corr",1.66920162134272,0.0714996673115511
12,"incong/post-corr",1.79736310076666,1.01874768711994
13,"incong/post-corr",1.73095165539423,1.66539563591937
14,"incong/post-corr",1.64378740310215,0.477143833220125
15,"incong/post-corr",1.89584689405972,-0.37239135796065
16,"incong/post-corr",1.87932717176152,0.622330293074965
17,"incong/post-corr",1.61595898534985,0.47929999072345
18,"incong/post-corr",1.84016657602016,1.06680836218826
19,"incong/post-corr",1.74226855211253,0.809845310218155
20,"incong/post-corr",1.87415679202858,1.55464170754843
21,"incong/post-corr",1.79563687306654,0.52445582424928
22,"incong/post-corr",1.63562533043182,1.6778421287131
23,"incong/post-corr",1.80718811229981,1.48081113511359
24,"incong/post-corr",1.75786893448163,0.769266168979996
25,"incong/post-corr",1.55844729683753,1.10044090262918
26,"incong/post-corr",1.84142625234081,0.4300081869782
27,"incong/post-corr",1.68112113744731,0.9136092196115
28,"incong/post-corr",1.79810950435655,1.56770131873687
29,"incong/post-corr",1.65463004080984,1.4591845394261
30,"incong/post-corr",1.93390175573617,0.69013295128885
31,"incong/post-corr",1.72043103493948,0.434196025640517
32,"incong/post-corr",1.80242611175279,0.948080072929208
33,"incong/post-corr",1.51293796150547,1.13688717075398
34,"incong/post-corr",1.72187013376404,0.36593538395574
35,"incong/post-corr",1.76615814483478,0.751582081922161
36,"incong/post-corr",1.77132450189385,1.50199872841324
37,"incong/post-corr",1.90184066561772,0.72264046954459
38,"incong/post-corr",1.87502212495546,-0.178208792443
39,"incong/post-corr",1.67247811720961,0.190602386079
40,"incong/post-corr",1.69246043529565,0.52378329578413
41,"incong/post-corr",1.7759044943479,-0.10973898313761
42,"incong/post-corr",1.64411398762547,1.4662372968096
43,"incong/post-corr",1.76991014074089,0.8015474202499
44,"incong/post-corr",1.81436242976731,1.76120216019745
45,"incong/post-corr",1.82376582944204,2.0416154969749
46,"incong/post-corr",1.65468425036458,0.374301075112235
47,"incong/post-corr",1.71437168581506,0.82247894762023
48,"incong/post-corr",1.59005849608187,0.119812295597735
49,"incong/post-corr",1.50464732157271,0.277721945334942
50,"incong/post-corr",1.78923937783119,0.13346419650445
51,"incong/post-corr",1.81539364688014,-0.0497371530147998
52,"incong/post-corr",1.6733032668631,-0.60467362012295
53,"incong/post-corr",1.84437922786369,0.896178203402555
54,"incong/post-corr",1.90721332670212,0.306176048829128
55,"incong/post-corr",2.0926932580315,0.31679083937
56,"incong/post-corr",1.81292839576666,0.63602119249319
57,"incong/post-corr",1.67640398125393,0.6584441333092
58,"incong/post-corr",1.57006004706021,0.0925807894597506
59,"incong/post-corr",1.75413072070182,1.1158793667985
60,"incong/post-corr",1.86265425827906,-0.00238811804450001
61,"incong/post-corr",2.12366909549024,0.1324647650165
62,"incong/post-corr",1.87040226335994,0.8156756760138
63,"incong/post-corr",1.78430485346989,0.0168986920911501
64,"incong/post-corr",1.67468224266508,1.4333772927459
65,"incong/post-corr",1.60350222183187,0.1620536652155
66,"incong/post-corr",1.69581051518175,1.88977724371847
67,"incong/post-corr",1.85998369230553,1.14803137960023
68,"incong/post-corr",1.78426904806767,0.319325277443165
69,"incong/post-corr",1.77869987294694,1.21885947158989
70,"incong/post-corr",1.71679958811347,-0.414020834397533
71,"incong/post-corr",1.63522961952355,1.3710098966134
72,"incong/post-corr",1.82810194475776,1.37605616411221
73,"incong/post-corr",1.69504489312984,-0.39981845758945
74,"incong/post-corr",1.81519789556817,0.939707734818293
75,"incong/post-corr",1.913126145745,1.13465865742821
76,"incong/post-corr",1.60170127376346,1.57503195160552
77,"incong/post-corr",1.63158707518941,1.3684149109553
78,"incong/post-corr",1.8693841271652,1.21335514721315
